2024-06-11 09:32:06,034 - Unable to initialize backend 'rocm': NOT_FOUND: Could not find registered platform with name: "rocm". Available platform names are: CUDA
2024-06-11 09:32:06,035 - Unable to initialize backend 'tpu': INTERNAL: Failed to open libtpu.so: libtpu.so: cannot open shared object file: No such file or directory
2024-06-11 09:32:10,774 - -----Starting Log-----
2024-06-11 09:33:47,173 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 3.1%, Memory Usage: 19.5%, GPU Usage: 88.0%
2024-06-11 09:33:49,200 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 5.4%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:33:51,230 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:33:53,260 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:33:55,288 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:33:57,318 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.8%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:33:59,348 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.3%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:01,376 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.6%, Memory Usage: 19.5%, GPU Usage: 88.0%
2024-06-11 09:34:03,405 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.5%, GPU Usage: 89.0%
2024-06-11 09:34:05,435 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:07,463 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:09,492 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 19.6%, GPU Usage: 54.0%
2024-06-11 09:34:11,521 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:34:13,548 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:15,575 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:34:17,605 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:19,637 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:21,668 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.2%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:34:23,698 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.0%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:25,728 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.4%, Memory Usage: 19.6%, GPU Usage: 89.0%
2024-06-11 09:34:27,759 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.6%, GPU Usage: 90.0%
2024-06-11 09:34:29,787 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 1.9%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:31,817 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.1%, Memory Usage: 19.7%, GPU Usage: 90.0%
2024-06-11 09:34:33,845 - Sort Method: pgn_10000.pkl, Array Size: 16, Number of Tests: 100000, CPU Usage: 2.5%, Memory Usage: 19.7%, GPU Usage: 89.0%
