2024-06-13 00:26:32,195 - -----Starting Log-----
2024-06-13 00:28:41,099 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.8%, Memory Usage: 24.7%, GPU Usage: 88.0%
2024-06-13 00:28:43,128 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:28:45,157 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.6%, Memory Usage: 24.7%, GPU Usage: 90.0%
2024-06-13 00:28:47,185 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.9%, Memory Usage: 24.7%, GPU Usage: 89.0%
2024-06-13 00:28:49,212 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 4.7%, Memory Usage: 24.7%, GPU Usage: 88.0%
2024-06-13 00:28:51,241 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.8%, GPU Usage: 90.0%
2024-06-13 00:28:53,269 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.0%, Memory Usage: 24.8%, GPU Usage: 88.0%
2024-06-13 00:28:55,299 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 3.0%, Memory Usage: 24.8%, GPU Usage: 90.0%
2024-06-13 00:28:57,328 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.8%, GPU Usage: 89.0%
2024-06-13 00:28:59,356 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.2%, Memory Usage: 24.8%, GPU Usage: 89.0%
2024-06-13 00:29:01,386 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.5%, Memory Usage: 24.8%, GPU Usage: 90.0%
2024-06-13 00:29:03,414 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.1%, Memory Usage: 24.8%, GPU Usage: 89.0%
2024-06-13 00:29:05,441 - Sort Method: mpnn_10000.pkl, Array Size: 16, Number of Tests: 10000, CPU Usage: 2.3%, Memory Usage: 24.8%, GPU Usage: 88.0%
